id,study_id,authors,first_author,title,short_title,journal,year,doi,source,search_date
1,Aryana et al. (2025),"Aryana IGNW, Prayudi IBD, Suyasa IK, Subawa IW, Febyan",Aryana ,No Difference in Ankle Morbidity Between the Leg with Peroneus Longus Used for ACL Reconstruction Autograft and the Contralateral Side 12 Months Postoperatively,nodifferenceinanklemorbiditybetweenthele,Orthop Rev,2025,10.52965/001c.144731,PubMed/MEDLINE,2025-10-12
2,Soleymanha et al. (2025),"Soleymanha M, Soleymani Nejad A, Keyhani S, Vosoughi F, LaPrade RF, Tollefson LV",Soleymanha ,Peroneus longus tendon harvest for ACL reconstruction yields good functional outcome of the ankle: A systematic review and meta-Analysis,peroneuslongustendonharvestforaclreconst,Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.70079,PubMed/MEDLINE,2025-10-12
3,Liang & He (2025),"Liang C, He J",Liang ,Harvesting of Peroneus Longus Tendon Autograft,harvestingofperoneuslongustendonautograf,J Vis Exp,2025,10.3791/66390,PubMed/MEDLINE,2025-10-12
4,Karapinar et al. (2025),"Karapinar SE, Tas A, Dincer APR, Atay PT, Baydar PML, Kumbul H",Karapinar ,An Evaluation of the Effect on Ankle Stability of the Peroneus Longus Tendon Graft Used in Anterior Cruciate Ligament Reconstruction,anevaluationoftheeffectonanklestabilityo,Orthop J Sports Med,2025,10.1177/23259671251371229,PubMed/MEDLINE,2025-10-12
5,Corrêa et al. (2025),"Corrêa VNM, Freire PGC, Paolucci PHO, Marques de Oliveira V, Mestriner MB, Guglielmetti LGB, de Paula L Cury R",Corrêa ,Combined Anterior Cruciate Ligament and Posterolateral Corner Reconstruction: Modified Technique Using a Single Femoral Tunnel Using Hamstrings and Peroneus Longus Tendon,combinedanteriorcruciateligamentandposte,Arthrosc Tech,2025,10.1016/j.eats.2025.103557,PubMed/MEDLINE,2025-10-12
6,Calvo et al. (2025),"Calvo Rodriguez R, Gonzalez Duque W, Figueroa Poblete D, Itriago M, Calvo Mena R, Isla Villanueva J",Calvo ,Effect of diameter reduction by compression on peroneus longus allograft integrity: A biomechanical analysis,effectofdiameterreductionbycompressionon,J Orthop,2025,10.1016/j.jor.2025.06.036,PubMed/MEDLINE,2025-10-12
7,Yuncu  (2025),Yuncu M,Yuncu ,Broader perspective on the role of peroneus longus tendon in ligament reconstruction,broaderperspectiveontheroleofperoneuslon,World J Orthop,2025,10.5312/wjo.v16.i7.107957,PubMed/MEDLINE,2025-10-12
8,Jorge et al. (2025),"Jorge PB, Toledo MB, Malpaga JMD, Helito CP, Canuto SMG, Padua VBC, Oliveira DE",Jorge ,Anterior Cruciate Ligament Reconstruction and Double Extra-Articular Reinforcement,anteriorcruciateligamentreconstructionan,Arthrosc Tech,2025,10.1016/j.eats.2025.103456,PubMed/MEDLINE,2025-10-12
9,Kumar et al. (2025),"Kumar H, Chawla HKS, Seth A, Mehta K, Sahni G, Sharma M, Mangoch R",Kumar ,Comparison of Surgical and Non-Surgical Treatment of Anterior Cruciate Ligament Injury in Middle-Aged Population: A Prospective Cohort Study,comparisonofsurgicalandnon-surgicaltreat,Cureus,2025,10.7759/cureus.84489,PubMed/MEDLINE,2025-10-12
10,Singh et al. (2025),"Singh MP, Verma M, Agrawal DR, Gaur TNS, Maravi DS, Dhanopeya A",Singh ,Evaluation of Ankle Complications after Peroneus Longus Tendon Harvesting for ACL Reconstruction,evaluationofanklecomplicationsafterperon,J Orthop Case Rep,2025,10.13107/jocr.2025.v15.i06.5718,PubMed/MEDLINE,2025-10-12
11,Yuncu  (2025),Yuncu M,Yuncu ,Letter to the Editor: Comparison of peroneus longus tendon and hamstring tendon autografts in arthroscopic ACL reconstruction,lettertotheeditor:comparisonofperoneuslo,Int Orthop,2025,10.1007/s00264-025-06557-6,PubMed/MEDLINE,2025-10-12
